name,id,gender,uid,department
Sam Mendes,4764,2,39,Directing
Sam Raimi,4767,2,7623,Directing
Shane Black,4784,2,1108,Directing
Steven Spielberg,4799,2,488,Directing
Stephen Sommers,4815,2,7775,Directing
Shawn Levy,4842,2,17825,Directing
Steve Hickner,4852,2,44113,Directing
Simon Wells,4855,2,21879,Directing
Steven Soderbergh,4909,2,1884,Directing
Simon West,4930,2,12786,Directing
Stefen Fangmeier,4931,0,25453,Directing
Spike Jonze,4932,2,5953,Directing
Steve Martino,4943,2,71729,Directing
Sergei Bodrov,4952,0,130938,Directing
Sydney Pollack,4965,2,2226,Directing
Sylvester Stallone,4992,2,16483,Directing
Seth Gordon,4997,2,71600,Directing
Scott Derrickson,5004,2,55499,Directing
Stephen Hopkins,5008,2,2042,Directing
Steven Brill,5013,2,32593,Directing
Stephen Norrington,5028,2,10808,Directing
Steve Carr,5048,2,52112,Directing
Seth MacFarlane,5075,2,52139,Directing
Scott Waugh,5081,2,293911,Directing
Stanley Kubrick,5089,2,240,Directing
Stuart Beattie,5095,0,1707,Directing
Steven Zaillian,5117,2,2260,Directing
Sam Fell,5118,2,58897,Directing
Stuart Baird,5134,2,2523,Directing
Scott Stewart,5138,0,116357,Directing
Soi Cheang,5149,2,93991,Directing
Stephen Herek,5152,2,18356,Directing
Sean Anders,5155,2,74619,Directing
Sam Weisman,5160,2,54967,Directing
Shekhar Kapur,5173,2,37630,Directing
Steve Antin,5177,2,42745,Directing
Scott Cooper,5181,2,65167,Directing
Steve Oedekerk,5190,2,4489,Directing
Spike Lee,5195,2,5281,Directing
Stephen Gaghan,5210,2,2945,Directing
Steven Quale,5216,2,93214,Directing
Steven Seagal,5221,2,23880,Directing
Stephen Frears,5249,0,3224,Directing
Sean Penn,5270,2,2228,Directing
Susan Stroman,5271,1,60129,Directing
Simon Wincer,5272,0,18254,Directing
Seth Rogen,5297,2,19274,Directing
Sngmoo Lee,5298,2,141169,Directing
Sam Taylor-Johnson,5305,1,1137903,Directing
Stephen Daldry,5323,2,468,Directing
Sofia Coppola,5330,1,1769,Directing
Stephen T. Kay,5331,2,56435,Directing
Sergei Bodrov Jr.,5347,2,71871,Directing
S.S. Rajamouli,5351,2,147021,Directing
Steve Miner,5362,2,58712,Directing
Steve Pink,5374,2,3227,Directing
Scott Hicks,5375,2,33433,Directing
Steven E. de Souza,5390,2,1726,Directing
Scott Mann,5395,0,90812,Directing
Susanna White,5396,0,113600,Directing
Scott Speer,5423,2,932088,Directing
Shim Hyung-Rae,5437,2,64331,Directing
Stephen Hillenburg,5448,2,70651,Directing
Stig Bergqvist,5449,0,80540,Directing
Shane Acker,5472,2,71923,Directing
Stephen Anderson,5474,0,227438,Directing
Sergio Leone,5497,2,4385,Directing
Steve Boyum,5500,2,72258,Directing
Shinji Aramaki,5518,0,70100,Directing
Sanaa Hamri,5530,1,64140,Directing
Saul Dibb,5533,2,73460,Directing
Scott Frank,5539,2,2199,Directing
Sharon Maguire,5551,1,9158,Directing
Steve Bendelack,5564,2,16356,Directing
Sylvain White,5576,2,31119,Directing
Steve Barron,5581,2,18308,Directing
Sergey Bondarchuk,5606,2,38131,Directing
Sidney Lumet,5615,0,39996,Directing
Stuart Gillard,5647,2,76418,Directing
Steve McQueen,5657,2,72757,Directing
Steve Trenbirth,5662,0,142007,Directing
Steve Beck,5672,2,57521,Directing
Shana Feste,5687,0,129718,Directing
Steve Rash,5688,2,54590,Directing
Stephen Chow,5692,2,57607,Directing
Stephen St. Leger,5701,0,936154,Directing
Scott Walker,5730,0,1179590,Directing
Sean McNamara,5749,2,129952,Directing
Sidney J. Furie,5792,2,64508,Directing
Steven Shainberg,5803,2,67795,Directing
Sheldon Lettich,5811,2,16590,Directing
Susanne Bier,5824,1,1011,Directing
Sara Sugarman,5854,1,58628,Directing
Stephan Elliott,5867,2,27889,Directing
Steve Gomer,5878,2,104507,Directing
Stefan Ruzowitzky,5905,2,15115,Directing
Stephen Carpenter,5933,2,56913,Directing
Sam Miller,5948,2,134156,Directing
Stephen Chbosky,5963,2,19311,Directing
Stewart Hendler,5971,2,130837,Directing
Stéphane Aubier,5979,0,126597,Directing
Scott Alexander,6000,2,7130,Directing
Stuart Gordon,6001,2,27991,Directing
Simon Curtis,6034,2,133502,Directing
Sajid Khan,6052,2,14086,Directing
Shintaro Shimosawa,6055,2,432629,Directing
Salim Akil,6069,2,225556,Directing
Scott Kalvert,6089,2,65390,Directing
Scott Marshall Smith,6126,2,69144,Directing
Sarik Andreasyan,6140,0,232858,Directing
Stanley Kramer,6144,2,4081,Directing
Stewart Raffill,6158,2,59023,Directing
Serdar Akar,6187,0,70579,Directing
Steve James,6209,2,122449,Directing
Stanley Tong,6230,2,44916,Directing
